,Prevalence
asthm_has,0.15965382262270347
anxie_has,0.10801470719262501
depre_has,0.08989563595540323
alcoh_misus_has,0.05427049117033852
subst_misus_has,0.04043052395858702
osteo_or_mof_has,0.04039844849809626
deafness_has,0.034488247907670196
psori_has,0.027725077664193687
hyperten_has,0.01920132103378021
epile_has,0.014823614666801304
post_traum_stres_disor_has,0.014621658063711369
lab_ckd_has,0.01206631304461459
severe_obesity_has,0.01146400717539931
gout_has,0.010729835524166483
osteoarthritis_has,0.010650240862948685
intel_disab_or_down_syndr_has,0.009461072864754415
chron_liver_disea_any_has,0.009067851478738127
type_ii_diabe_melli_has,0.007711178297981028
infla_bowel_disea_any_has,0.007587628376090714
neuro_any_has,0.007228858410601534
thyro_disea_has,0.006687139522313234
upper_gi_acid_disor_any_has,0.0063307455168604065
coron_heart_disea_any_has,0.005714183887427013
sleep_apnoe_has,0.005426692723028399
schizophrenia_schizotypal_and_delusional_disorders_has,0.005414812922846637
obses_compu_disor_has,0.005133261658538903
tuber_has,0.005039411237102992
type_1_diabe_melli_has,0.004911109395139974
cance_solid_organ_any_has,0.004868342114485634
autis_has,0.004827950793867647
diabe_eye_disea_has,0.004788747453267836
venou_throm_any_has,0.0046473778311048805
uveit_any_has,0.004557091349723498
conne_tissu_disea_any_excl_ra_has,0.003925085980053816
bipol_affec_disor_has,0.0034510819528015537
catar_has,0.0030542966267307382
diver_disea_has,0.0027133463615141994
strok_tia_any_has,0.002459118637624515
chron_pancr_has,0.002444862877406402
atria_fibri_has,0.002441298937351874
supra_tachy_has,0.002293989415098038
cance_haema_has,0.002090844831989926
addis_disea_has,0.002077777051789989
heart_valve_disor_any_has,0.0020504535113719385
chron_obstr_pulmo_disea_has,0.001991054510463134
cereb_palsy_has,0.0018247373079184807
rheum_arthr_has,0.0014564635022838916
heart_failu_has,0.0013162818601391124
respi_failu_has,0.0012390631589576664
cardi_any_has,0.0010442344359767868
sarco_has,0.0009895873551406865
other_haemolytic_anaemia_has,0.0009088047139047121
cance_skin_excl_melan_has,0.0008387138928323226
benig_prost_hyper_has,0.0008018865122688636
multi_scler_has,0.0007959466121779832
bronc_has,0.0007579312515963481
subar_haemo_has,0.0006890284105421346
thala_has,0.0006842764904694303
glaucoma_has,0.0006522010299786757
eatin_disor_has,0.0005904260690335188
perip_arter_disea_has,0.0005464708083610033
hiv_has,0.0005405309082701229
sickl_cell_disea_has,0.0004751920072704377
macul_degen_has,0.0004561843269796202
immun_has,0.00036708582561641314
aplas_anaem_has,0.0003445142052710673
hyper_has,0.00030531086467125624
cysti_fibro_has,0.0002257162034534579
cardi_condu_disor_has,0.00022215226339892963
demen_has,0.00019245276294452726
prima_pulmo_hyper_has,0.00016037730245377273
pulmo_fibro_has,0.0001449335622174835
abdom_aorti_aneur_has,9.622638147226363e-05
myast_gravi_has,9.503840145408754e-05
parki_disea_has,6.415092098150909e-05
motor_neuro_disea_has,6.058698092698081e-05
polyc_ovari_syndr_has,1.3067780199937037e-05
asbes_has,9.503840145408755e-06
endom_has,8.31586012723266e-06
